2024-04-11T17:56:45.303369+0900 -  | DEBUG | CALL /models/detection
2024-04-11T17:56:45.707485+0900 -  | INFO | START IMAGE CHECK
2024-04-11T17:56:45.708565+0900 -  | INFO | START IMAGE CHECK
2024-04-11T17:56:45.708565+0900 -  | SUCCESS | IMAGE CHECK
2024-04-11T17:56:45.708565+0900 -  | SUCCESS | IMAGE CHECK
2024-04-11T17:57:01.999396+0900 -  | DEBUG | CALL /models/detection
2024-04-11T17:57:02.233801+0900 -  | INFO | START IMAGE CHECK
2024-04-11T17:57:02.235354+0900 -  | INFO | START IMAGE CHECK
2024-04-11T17:57:02.235354+0900 -  | SUCCESS | IMAGE CHECK
2024-04-11T17:57:02.235354+0900 -  | SUCCESS | IMAGE CHECK
2024-04-12T02:30:03.279195+0900 - LAPTOP-O52L8MLB:192.168.0.101 | INFO | START IMAGE CHECK
2024-04-12T02:30:03.280195+0900 - LAPTOP-O52L8MLB:192.168.0.101 | SUCCESS | IMAGE CHECK
